holanda,belgica,lux,alemania,francia,italia,ucrania,dinamarca,grecia,irlanda
40.0,83.24718890280914,70.0,40.0,100.0,100.0,100.0,40.0,70.0,40.0
40.0,95.30696339131289,83.24718890280914,40.0,100.0,100.0,100.0,40.0,70.0,70.0
40.0,99.42041989440477,95.30696339131289,40.0,100.0,100.0,100.0,40.0,70.0,83.24718890280914
40.0,46.75809434964068,99.42041989440477,40.0,100.0,100.0,100.0,40.0,70.0,95.30696339131289
40.0,52.08345184239245,46.75809434964068,40.0,100.0,100.0,100.0,40.0,70.0,99.42041989440477
40.0,70.55007798120451,52.08345184239245,40.0,100.0,100.0,100.0,40.0,70.0,52.08345184239245
40.0,84.1142051243583,70.55007798120451,40.0,100.0,100.0,100.0,40.0,70.0,70.55007798120451
40.0,93.98499704226498,84.1142051243583,40.0,100.0,100.0,100.0,40.0,70.0,84.1142051243583
40.0,99.019935755043,93.98499704226498,40.0,100.0,100.0,100.0,40.0,70.0,93.98499704226498
